anon_id,anon_ip,active_rank,active_priority_score,passive_collection_order,gateway_port,country,org,mdns_instance_names,mdns_product_markers,passive_product_confidence,passive_family,passive_family_confidence,passive_top_version,passive_top_version_exact,scanner_input_target,active_probe_target,active_probed_base,active_product_confidence,active_reachable_status_count,active_has_signal,active_status_distribution_signature,active_status_counts,active_fingerprint_match_count,active_fingerprint_rules,active_matched_version_count,active_matched_versions,active_has_exact_version_match,active_vulnerability_count,active_proxy_detected,active_honeypot_probable,active_observation_count,active_error_count,active_first_error
gw-0042,192.0.2.42,34,105,42,18789,US,provider-0030,gw-0042-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.42:18789,http://192.0.2.42:18789,http://192.0.2.42:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.42:18789 /: [Errno 61] Connection refused
gw-0043,192.0.2.43,35,105,43,18789,JP,provider-0031,gw-0043-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.43:18789,http://192.0.2.43:18789,http://192.0.2.43:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.43:18789 /: [Errno 61] Connection refused
gw-0044,192.0.2.44,36,105,44,18789,JP,provider-0031,gw-0044-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.44:18789,http://192.0.2.44:18789,http://192.0.2.44:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.44:18789 /: [Errno 61] Connection refused
gw-0045,192.0.2.45,37,105,45,18789,US,provider-0032,gw-0045-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.45:18789,http://192.0.2.45:18789,http://192.0.2.45:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,2,,0,,False,0,False,False,39,2,http://192.0.2.45:18789 WS-UPGRADE /ws: timed out
gw-0046,192.0.2.46,38,105,46,18789,RU,provider-0033,gw-0046-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.46:18789,http://192.0.2.46:18789,http://192.0.2.46:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.46:18789 /: [Errno 61] Connection refused
gw-0048,192.0.2.48,39,105,48,18789,CN,provider-0025,gw-0048-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.48:18789,http://192.0.2.48:18789,http://192.0.2.48:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.48:18789 /: [Errno 61] Connection refused
gw-0049,192.0.2.49,40,105,49,18789,CN,provider-0034,gw-0049-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.49:18789,http://192.0.2.49:18789,http://192.0.2.49:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,2,,0,,False,0,False,False,39,2,http://192.0.2.49:18789 WS-UPGRADE /ws: timed out
gw-0050,192.0.2.50,41,105,50,18789,KR,provider-0035,gw-0050-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.50:18789,http://192.0.2.50:18789,http://192.0.2.50:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.50:18789 /: [Errno 61] Connection refused
gw-0051,192.0.2.51,42,105,51,18789,DE,provider-0036,gw-0051-instance-1,clawdbot;openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.51:18789,http://192.0.2.51:18789,http://192.0.2.51:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.51:18789 /: [Errno 61] Connection refused
gw-0052,192.0.2.52,43,105,52,18789,CN,provider-0037,gw-0052-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.52:18789,http://192.0.2.52:18789,http://192.0.2.52:18789,0.8500000000000001,36,True,200:13;404:22;500:1,200:13;404:22;500:1,1,,0,,False,0,False,False,39,3,http://192.0.2.52:18789 /robots.txt: timed out
gw-0053,192.0.2.53,44,105,53,18789,CN,provider-0038,gw-0053-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.53:18789,http://192.0.2.53:18789,http://192.0.2.53:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,2,,0,,False,0,False,False,39,2,http://192.0.2.53:18789 WS-UPGRADE /ws: timed out
gw-0054,192.0.2.54,45,105,54,18789,VN,provider-0039,gw-0054-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.54:18789,http://192.0.2.54:18789,http://192.0.2.54:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.54:18789 /: [Errno 61] Connection refused
gw-0055,192.0.2.55,46,105,55,18789,CN,provider-0040,gw-0055-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.55:18789,http://192.0.2.55:18789,http://192.0.2.55:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.55:18789 /: [Errno 61] Connection refused
gw-0057,192.0.2.57,47,105,57,18789,CN,provider-0002,gw-0057-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.57:18789,http://192.0.2.57:18789,http://192.0.2.57:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.57:18789 /: [Errno 61] Connection refused
gw-0058,192.0.2.58,48,105,58,18789,SG,provider-0041,gw-0058-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.58:18789,http://192.0.2.58:18789,http://192.0.2.58:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.58:18789 /: [Errno 61] Connection refused
gw-0060,192.0.2.60,49,105,60,18789,CN,provider-0034,gw-0060-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.60:18789,http://192.0.2.60:18789,http://192.0.2.60:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.60:18789 /: [Errno 61] Connection refused
gw-0061,192.0.2.61,50,105,61,18789,CN,provider-0034,gw-0061-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.61:18789,http://192.0.2.61:18789,http://192.0.2.61:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,2,,0,,False,0,False,False,39,2,http://192.0.2.61:18789 WS-UPGRADE /ws: timed out
gw-0062,192.0.2.62,51,105,62,18789,CN,provider-0042,gw-0062-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.62:18789,http://192.0.2.62:18789,http://192.0.2.62:18789,1.0,36,True,200:12;401:1;404:23,200:12;401:1;404:23,2,,0,,False,0,False,False,39,3,http://192.0.2.62:18789 /ws: timed out
gw-0064,192.0.2.64,52,105,64,18789,TH,provider-0044,gw-0064-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.64:18789,http://192.0.2.64:18789,http://192.0.2.64:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.64:18789 /: [Errno 61] Connection refused
gw-0071,192.0.2.71,53,105,71,18789,DE,provider-0036,gw-0071-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.71:18789,http://192.0.2.71:18789,http://192.0.2.71:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.71:18789 /: [Errno 61] Connection refused
gw-0072,192.0.2.72,54,105,72,18789,US,provider-0046,gw-0072-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.72:18789,http://192.0.2.72:18789,http://192.0.2.72:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,1,,0,,False,0,False,False,39,2,http://192.0.2.72:18789 WS-UPGRADE /ws: timed out
gw-0075,192.0.2.75,55,105,75,18789,US,provider-0048,gw-0075-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.75:18789,http://192.0.2.75:18789,http://192.0.2.75:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,2,,0,,False,0,False,False,39,2,http://192.0.2.75:18789 WS-UPGRADE /ws: timed out
gw-0076,192.0.2.76,56,105,76,18789,US,provider-0048,gw-0076-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.76:18789,http://192.0.2.76:18789,http://192.0.2.76:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.76:18789 /: [Errno 61] Connection refused
gw-0077,192.0.2.77,57,105,77,18789,US,provider-0048,gw-0077-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.77:18789,http://192.0.2.77:18789,http://192.0.2.77:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.77:18789 /: [Errno 61] Connection refused
gw-0078,192.0.2.78,58,105,78,18789,US,provider-0048,gw-0078-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.78:18789,http://192.0.2.78:18789,http://192.0.2.78:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.78:18789 /: [Errno 61] Connection refused
gw-0079,192.0.2.79,59,105,79,18789,US,provider-0049,gw-0079-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.79:18789,http://192.0.2.79:18789,http://192.0.2.79:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.79:18789 /: [Errno 61] Connection refused
gw-0080,192.0.2.80,60,105,80,18789,US,provider-0016,gw-0080-instance-1,clawdbot;openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.80:18789,http://192.0.2.80:18789,http://192.0.2.80:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.80:18789 /: [Errno 61] Connection refused
gw-0082,192.0.2.82,61,105,82,18789,DE,provider-0050,gw-0082-instance-1,clawdbot;openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.82:18789,http://192.0.2.82:18789,http://192.0.2.82:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.82:18789 /: [Errno 61] Connection refused
gw-0083,192.0.2.83,62,105,83,18789,JP,provider-0051,gw-0083-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.83:18789,http://192.0.2.83:18789,http://192.0.2.83:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.83:18789 /: [Errno 61] Connection refused
gw-0084,192.0.2.84,63,105,84,18789,US,provider-0052,gw-0084-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.84:18789,http://192.0.2.84:18789,http://192.0.2.84:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.84:18789 /: timed out
gw-0085,192.0.2.85,64,105,85,18789,CN,provider-0002,gw-0085-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.85:18789,http://192.0.2.85:18789,http://192.0.2.85:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,1,,0,,False,0,False,False,39,2,http://192.0.2.85:18789 WS-UPGRADE /ws: timed out
gw-0086,192.0.2.86,65,105,86,18789,US,provider-0053,gw-0086-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.86:18789,http://192.0.2.86:18789,http://192.0.2.86:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.86:18789 /: [Errno 61] Connection refused
gw-0087,192.0.2.87,66,105,87,18789,FI,provider-0036,gw-0087-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.87:18789,http://192.0.2.87:18789,http://192.0.2.87:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.87:18789 /: [Errno 61] Connection refused
gw-0088,192.0.2.88,67,105,88,18789,FI,provider-0036,gw-0088-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.88:18789,http://192.0.2.88:18789,http://192.0.2.88:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.88:18789 /: [Errno 61] Connection refused
gw-0089,192.0.2.89,68,105,89,18789,IN,provider-0054,gw-0089-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.89:18789,http://192.0.2.89:18789,http://192.0.2.89:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.89:18789 /: [Errno 61] Connection refused
gw-0090,192.0.2.90,69,105,90,18789,US,provider-0016,gw-0090-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.90:18789,http://192.0.2.90:18789,http://192.0.2.90:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.90:18789 /: [Errno 61] Connection refused
gw-0091,192.0.2.91,70,105,91,18789,FR,provider-0055,gw-0091-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.91:18789,http://192.0.2.91:18789,http://192.0.2.91:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.91:18789 /: [Errno 61] Connection refused
gw-0092,192.0.2.92,71,105,92,18789,DE,provider-0036,gw-0092-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.92:18789,http://192.0.2.92:18789,http://192.0.2.92:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.92:18789 /: [Errno 61] Connection refused
gw-0093,192.0.2.93,72,105,93,18789,SG,provider-0056,gw-0093-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.93:18789,http://192.0.2.93:18789,http://192.0.2.93:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.93:18789 /: [Errno 61] Connection refused
gw-0094,192.0.2.94,73,105,94,18789,CN,provider-0034,gw-0094-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.94:18789,http://192.0.2.94:18789,http://192.0.2.94:18789,0.5,37,True,401:2;405:3;503:32,401:2;405:3;503:32,0,,0,,False,0,False,False,39,2,http://192.0.2.94:18789 WS-UPGRADE /ws: timed out
gw-0095,192.0.2.95,74,105,95,18789,IN,provider-0016,gw-0095-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.95:18789,http://192.0.2.95:18789,http://192.0.2.95:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.95:18789 /: [Errno 61] Connection refused
gw-0096,192.0.2.96,75,105,96,18789,US,provider-0057,gw-0096-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.96:18789,http://192.0.2.96:18789,http://192.0.2.96:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.96:18789 /: [Errno 61] Connection refused
gw-0097,192.0.2.97,76,105,97,18789,FR,provider-0058,gw-0097-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.97:18789,http://192.0.2.97:18789,http://192.0.2.97:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.97:18789 /: [Errno 61] Connection refused
gw-0098,192.0.2.98,77,105,98,18789,DE,provider-0059,gw-0098-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.98:18789,http://192.0.2.98:18789,http://192.0.2.98:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.98:18789 /: [Errno 61] Connection refused
gw-0099,192.0.2.99,78,105,99,18789,DE,provider-0036,gw-0099-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.99:18789,http://192.0.2.99:18789,http://192.0.2.99:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.99:18789 /: [Errno 61] Connection refused
gw-0100,192.0.2.100,79,105,100,18789,US,provider-0060,gw-0100-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.100:18789,http://192.0.2.100:18789,http://192.0.2.100:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.100:18789 /: [Errno 61] Connection refused
gw-0101,192.0.2.101,80,105,101,18789,US,provider-0016,gw-0101-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.101:18789,http://192.0.2.101:18789,http://192.0.2.101:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.101:18789 /: [Errno 61] Connection refused
gw-0102,192.0.2.102,81,105,102,18789,US,provider-0016,gw-0102-instance-1,claw gateway;openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.102:18789,http://192.0.2.102:18789,http://192.0.2.102:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.102:18789 /: [Errno 61] Connection refused
gw-0103,192.0.2.103,82,105,103,18789,US,provider-0016,gw-0103-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.103:18789,http://192.0.2.103:18789,http://192.0.2.103:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.103:18789 /: [Errno 61] Connection refused
gw-0104,192.0.2.104,83,105,104,18789,SG,provider-0016,gw-0104-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.104:18789,http://192.0.2.104:18789,http://192.0.2.104:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.104:18789 /: [Errno 61] Connection refused
gw-0105,192.0.2.105,84,105,105,18789,US,provider-0016,gw-0105-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.105:18789,http://192.0.2.105:18789,http://192.0.2.105:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.105:18789 /: [Errno 61] Connection refused
gw-0106,192.0.2.106,85,105,106,18789,GB,provider-0061,gw-0106-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.106:18789,http://192.0.2.106:18789,http://192.0.2.106:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.106:18789 /: [Errno 61] Connection refused
gw-0107,192.0.2.107,86,105,107,18789,GB,provider-0061,gw-0107-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.107:18789,http://192.0.2.107:18789,http://192.0.2.107:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.107:18789 /: [Errno 61] Connection refused
gw-0108,192.0.2.108,87,105,108,18789,GB,provider-0061,gw-0108-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.108:18789,http://192.0.2.108:18789,http://192.0.2.108:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.108:18789 /: [Errno 61] Connection refused
gw-0109,192.0.2.109,88,105,109,18789,GB,provider-0061,gw-0109-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.109:18789,http://192.0.2.109:18789,http://192.0.2.109:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.109:18789 /: [Errno 61] Connection refused
gw-0110,192.0.2.110,89,105,110,18789,GB,provider-0061,gw-0110-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.110:18789,http://192.0.2.110:18789,http://192.0.2.110:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.110:18789 /: [Errno 61] Connection refused
gw-0111,192.0.2.111,90,105,111,18789,GB,provider-0061,gw-0111-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.111:18789,http://192.0.2.111:18789,http://192.0.2.111:18789,1.0,37,True,200:32;401:1;405:4,200:32;401:1;405:4,2,,0,,False,0,False,False,39,2,http://192.0.2.111:18789 WS-UPGRADE /ws: timed out
